Designator,Mid X,Mid Y,Rotation,Layer
_24,148.463014,-61.461994,270.0,top
_23,151.003014,-61.461994,270.0,top
_22,156.083014,-61.467994,270.0,top
_21,153.67,-62.478,270.0,top
_20,145.796014,-61.468,270.0,top
_19,153.670014,-61.461994,270.0,top
_18,145.796,-62.484006,270.0,top
_17,156.083,-62.484,270.0,top
_16,151.003,-62.478,270.0,top
_15,148.463,-62.478,270.0,top
_14,164.6268,-71.6612,0.0,bottom
_13,148.335986,-61.455988,180.0,bottom
_12,166.3268,-71.6612,0.0,bottom
_11,153.543,-62.471994,180.0,bottom
_10,153.542986,-61.455988,180.0,bottom
_9,148.336,-62.471994,180.0,bottom
_8,166.3268,-76.9112,0.0,bottom
_7,145.923,-62.477994,180.0,bottom
_6,151.003,-62.471994,180.0,bottom
_5,145.922986,-61.461988,180.0,bottom
_4,156.209986,-61.461994,180.0,bottom
_3,164.6268,-76.9112,0.0,bottom
_2,151.002986,-61.455988,180.0,bottom
,156.21,-62.478,180.0,bottom
D1,34.3012,-97.7183,0.0,top
D10,72.3012,-75.7183,0.0,top
D11,72.3012,-58.7183,0.0,top
D12,72.3012,-41.7183,0.0,top
D13,91.3012,-87.7183,0.0,top
D14,91.3012,-70.7183,0.0,top
D15,91.3012,-53.7183,0.0,top
D16,91.3012,-36.7183,0.0,top
D17,110.3012,-93.7183,0.0,top
D18,110.3012,-76.7183,0.0,top
D19,110.3012,-59.7183,0.0,top
D2,34.3012,-80.7183,0.0,top
D20,110.3012,-42.7183,0.0,top
D21,129.3012,-95.7183,0.0,top
D22,129.3012,-78.7183,0.0,top
D23,129.3012,-61.7183,0.0,top
D24,129.3012,-44.7183,0.0,top
D25,109.3012,-115.7183,0.0,top
D26,128.3012,-115.7183,0.0,top
D27,146.8365,-125.1139,340.0,top
D28,152.6509,-109.1392,340.0,top
D29,164.7844,-134.5674,325.0,top
D3,34.3012,-63.7183,0.0,top
D4,34.3012,-46.7183,0.0,top
D5,53.3012,-97.7183,0.0,top
D6,53.3012,-80.7183,0.0,top
D7,53.3012,-63.7183,0.0,top
D8,53.3012,-46.7183,0.0,top
D9,72.3012,-92.7183,0.0,top
MCU1,151.3012,-40.2183,270.0,top
OLED1,143.8012,-61.2183,90.0,top
PAD1,161.3012,-62.7183,0.0,top
PAD2,161.3012,-59.7183,0.0,top
S1,34.3012,-92.7183,0.0,top
S10,72.3012,-70.7183,0.0,top
S11,72.3012,-53.7183,0.0,top
S12,72.3012,-36.7183,0.0,top
S13,91.3012,-82.7183,0.0,top
S14,91.3012,-65.7183,0.0,top
S15,91.3012,-48.7183,0.0,top
S16,91.3012,-31.7183,0.0,top
S17,110.3012,-88.7183,0.0,top
S18,110.3012,-71.7183,0.0,top
S19,110.3012,-54.7183,0.0,top
S2,34.3012,-75.7183,0.0,top
S20,110.3012,-37.7183,0.0,top
S21,129.3012,-90.7183,0.0,top
S22,129.3012,-73.7183,0.0,top
S23,129.3012,-56.7183,0.0,top
S24,129.3012,-39.7183,0.0,top
S25,109.3012,-110.7183,0.0,top
S26,128.3012,-110.7183,0.0,top
S27,148.5466,-120.4155,340.0,top
S28,154.361,-104.4407,340.0,top
S29,167.6523,-130.4716,325.0,top
S3,34.3012,-58.7183,0.0,top
S4,34.3012,-41.7183,0.0,top
S5,53.3012,-92.7183,0.0,top
S6,53.3012,-75.7183,0.0,top
S7,53.3012,-58.7183,0.0,top
S8,53.3012,-41.7183,0.0,top
S9,72.3012,-87.7183,0.0,top
T1,165.8012,-90.7183,270.0,top
T2,165.8012,-90.7183,270.0,top
