Designator,Mid X,Mid Y,Rotation,Layer
D31,169.6175,-74.3969,180,top
D34,150.6175,-91.3969,180,top
D36,150.6175,-57.3969,180,top
D37,150.6175,-40.3969,180,top
D41,131.6175,-35.3969,180,top
D49,93.6175,-36.3969,180,top
D51,74.6175,-72.3969,180,top
D52,74.6175,-55.3969,180,top
D53,74.6175,-38.3969,180,top
D54,94.6175,-109.3969,180,top
D57,51.2678,-102.8177,200,top
D58,39.1343,-128.2459,215,top
D59,169.6175,-91.3969,180,top
D61,169.6175,-57.3969,180,top
D62,169.6175,-40.3969,180,top
D64,150.6175,-74.3969,180,top
D67,131.6175,-86.3969,180,top
D68,131.6175,-69.3969,180,top
D69,131.6175,-52.3969,180,top
D71,112.6175,-81.3969,180,top
D72,112.6175,-64.3969,180,top
D73,112.6175,-47.3969,180,top
D74,112.6175,-30.3969,180,top
D75,93.6175,-87.3969,180,top
D76,93.6175,-70.3969,180,top
D77,93.6175,-53.3969,180,top
D79,74.6175,-89.3969,180,top
D84,75.6175,-109.3969,180,top
D85,57.0822,-118.7925,200,top
JST1,59.5961,-58.37,270,top
MCU1,52.5961,-33.87,270,top
OLED1,45.572,-54.87,90,top
Panasonic_EVQPUL_EVQPUC,38.354,-67.929,90,top
S30,169.6175,-86.3969,0,bottom
S31,169.6175,-69.3969,0,bottom
S32,169.6175,-52.3969,0,bottom
S33,169.6175,-35.3969,0,bottom
S34,150.6175,-86.3969,0,bottom
S35,150.6175,-69.3969,0,bottom
S36,150.6175,-52.3969,0,bottom
S37,150.6175,-35.3969,0,bottom
S38,131.6175,-81.3969,0,bottom
S39,131.6175,-64.3969,0,bottom
S40,131.6175,-47.3969,0,bottom
S41,131.6175,-30.3969,0,bottom
S42,112.6175,-76.3969,0,bottom
S43,112.6175,-59.3969,0,bottom
S44,112.6175,-42.3969,0,bottom
S45,112.6175,-25.3969,0,bottom
S46,93.6175,-82.3969,0,bottom
S47,93.6175,-65.3969,0,bottom
S48,93.6175,-48.3969,0,bottom
S49,93.6175,-31.3969,0,bottom
S50,74.6175,-84.3969,0,bottom
S51,74.6175,-67.3969,0,bottom
S52,74.6175,-50.3969,0,bottom
S53,74.6175,-33.3969,0,bottom
S54,94.6175,-104.3969,0,bottom
S55,75.6175,-104.3969,0,bottom
S56,55.3721,-114.094,20,bottom
S57,49.5577,-98.1193,20,bottom
S58,36.2664,-124.1502,35,bottom
S59,169.6175,-86.3969,0,bottom
S60,169.6175,-69.3969,0,bottom
S61,169.6175,-52.3969,0,bottom
S62,169.6175,-35.3969,0,bottom
S63,150.6175,-86.3969,0,bottom
S64,150.6175,-69.3969,0,bottom
S65,150.6175,-52.3969,0,bottom
S66,150.6175,-35.3969,0,bottom
S67,131.6175,-81.3969,0,bottom
S68,131.6175,-64.3969,0,bottom
S69,131.6175,-47.3969,0,bottom
S70,131.6175,-30.3969,0,bottom
S71,112.6175,-76.3969,0,bottom
S72,112.6175,-59.3969,0,bottom
S73,112.6175,-42.3969,0,bottom
S74,112.6175,-25.3969,0,bottom
S75,93.6175,-82.3969,0,bottom
S76,93.6175,-65.3969,0,bottom
S77,93.6175,-48.3969,0,bottom
S78,93.6175,-31.3969,0,bottom
S79,74.6175,-84.3969,0,bottom
S80,74.6175,-67.3969,0,bottom
S81,74.6175,-50.3969,0,bottom
S82,74.6175,-33.3969,0,bottom
S83,94.6175,-104.3969,0,bottom
S84,75.6175,-104.3969,0,bottom
S85,55.3721,-114.094,20,bottom
S86,49.5577,-98.1193,20,bottom
S87,36.2664,-124.1502,35,bottom
T1,38.0961,-84.37,90,top
